product_id,category,subcategory,product_name,launch_date,base_price,base_cost
101,Laptops,Ultrabook,ZenBook Pro 14,01/09/2023,1200,750
102,Laptops,Gaming,Predator X15,20/11/2022,1500,950
103,Laptops,Business,ThinkPro 13,15/03/2023,999,620
201,Smartphones,Android,Galaxy S24 Ultra,10/01/2024,1199,680
202,Smartphones,iOS,iPhone 15 Pro,20/09/2023,1299,740
301,Tablets,Android Tablet,TabMaster 11,01/05/2023,499,270
302,Tablets,iPad,iPad Air 5,10/10/2023,599,320
401,Accessories,Smartphone Accessories,QuickCharge 30W,01/06/2022,29.99,8
402,Accessories,Tablet Accessories,TabCover Pro,15/07/2023,59.99,18
403,Accessories,Laptop Accessories,USB-C Dock 8-in-1,01/12/2022,129.99,45
